Variant,Threads,Avg Time (ms),Avg Path Len,Avg Cost,Match (%)
NX,,967.29,278.71,23580.37,100.0
Sequential,,138.74,278.71,23580.37,100.0
TPool___CppLib_2thr,2,2319.17,278.71,23580.37,100.0
TPool___PqFine_2thr,2,3889.87,278.71,23580.37,100.0
TVector_CppLib_2thr,2,8713.65,278.71,23580.37,100.0
TVector_PqFine_2thr,2,10718.32,278.71,23580.37,100.0
TPool___CppLib_4thr,4,3075.50,278.71,23580.37,100.0
TPool___PqFine_4thr,4,4663.17,278.71,23580.37,100.0
TVector_CppLib_4thr,4,13830.22,278.71,23580.37,100.0
TVector_PqFine_4thr,4,16154.17,278.71,23580.37,100.0
TPool___CppLib_6thr,6,3088.98,278.71,23580.37,100.0
TPool___PqFine_6thr,6,4683.46,278.71,23580.37,100.0
TVector_CppLib_6thr,6,25684.45,278.71,23580.37,100.0
TVector_PqFine_6thr,6,27933.19,278.71,23580.37,100.0
