Variant,Threads,Avg Time (ms),Avg Path Len,Avg Cost,Match (%)
NX,,876.72,266.77,21408.82,100.0
Sequential,,126.89,266.77,21408.82,100.0
TPool___CppLib_2thr,2,2190.00,266.77,21408.82,100.0
TPool___PqFine_2thr,2,3611.18,266.77,21408.82,100.0
TVector_CppLib_2thr,2,8151.54,266.77,21408.82,100.0
TVector_PqFine_2thr,2,10139.07,266.77,21408.82,100.0
TPool___CppLib_4thr,4,2983.25,266.77,21408.82,100.0
TPool___PqFine_4thr,4,4275.79,266.77,21408.82,100.0
TVector_CppLib_4thr,4,13274.16,266.77,21408.82,100.0
TVector_PqFine_4thr,4,15303.52,266.77,21408.82,100.0
TPool___CppLib_6thr,6,2963.13,266.77,21408.82,100.0
TPool___PqFine_6thr,6,4318.99,266.77,21408.82,100.0
TVector_CppLib_6thr,6,24177.77,266.77,21408.82,100.0
TVector_PqFine_6thr,6,26598.26,266.77,21408.82,100.0
